property_id,property_type,property_subtype,price,price_type,living_area_m2,bedrooms,bathrooms,address,postal_code,city,latitude,longitude,building_year,state_of_the_building,furnished,has_garage,parking_count,kitchen_equipped,has_elevator,facades,floors_total,has_garden,garden_area_m2,has_terrace,total_area_m2,epc_score,region,province,nearby_city,km_from_nearby_city,is_nearby_city_prestigious,floor_number,property_url
https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbe25448,House,residence,105000.0,sell,147.0,3.0,,Rue Théodore Cuitte 128,4020,bressoux,50.6408959,5.599004,,To be renovated,,,,,,2.0,,1.0,,0.0,71.0,E,Wallonia,Liège,Liège,1.6,0.0,,https://immovlan.be/en/detail/residence/for-sale/4020/bressoux/vbe25448
https://immovlan.be/en/detail/residence/for-sale/3730/hoeselt/rbv83229,House,residence,560000.0,sell,231.0,4.0,3.0,Beisstraat 5,3730,hoeselt,50.822061,5.4960868,1850.0,,,,,,0.0,4.0,2.0,1.0,,1.0,1379.0,C,Flanders,Limburg,Maastricht,14.1,0.0,,https://immovlan.be/en/detail/residence/for-sale/3730/hoeselt/rbv83229
https://immovlan.be/en/detail/villa/for-sale/9971/lembeke/rwc40396,House,villa,975000.0,sell,422.0,5.0,,Ledestraat 58,9971,lembeke,51.1827743,3.6387924,1995.0,Normal,,1.0,,Super equipped,,4.0,,1.0,,1.0,2250.0,C,Flanders,East Flanders,Gent,15.3,0.0,,https://immovlan.be/en/detail/villa/for-sale/9971/lembeke/rwc40396
https://immovlan.be/en/detail/residence/for-sale/4845/jalhay/vbd98651,House,residence,50000.0,sell,118.0,4.0,,Herbiester 155,4845,jalhay,50.5617648,5.97745986,,Normal,0.0,1.0,2.0,,0.0,4.0,,0.0,,1.0,578.0,C,Wallonia,Liège,Verviers,8.6,0.0,,https://immovlan.be/en/detail/residence/for-sale/4845/jalhay/vbd98651
https://immovlan.be/en/detail/residence/for-sale/5100/wierde/vbe09231,House,residence,638438.0,sell,172.0,3.0,2.0,,5100,wierde,50.4260307,4.9509671,,New,,1.0,1.0,,,4.0,,1.0,,,1600.0,A+,Wallonia,Namur,Namur,7.5,0.0,,https://immovlan.be/en/detail/residence/for-sale/5100/wierde/vbe09231
https://immovlan.be/en/detail/residence/for-sale/4350/remicourt/vbe33701,House,residence,300000.0,sell,,5.0,,Rue Al Baye 12,4350,remicourt,50.6967183,5.3106278,,,,,,,,,,,,,,,Wallonia,Liège,Sint-Truiden,16.0,0.0,,https://immovlan.be/en/detail/residence/for-sale/4350/remicourt/vbe33701
https://immovlan.be/en/detail/residence/for-sale/6630/martelange/vbb63662,House,residence,198000.0,sell,137.0,6.0,2.0,Route de Bastogne 29,6630,martelange,49.83485,5.738209,,,0.0,1.0,1.0,,0.0,3.0,,1.0,,0.0,581.0,D,Wallonia,Luxembourg,Arlon,17.8,0.0,,https://immovlan.be/en/detail/residence/for-sale/6630/martelange/vbb63662
https://immovlan.be/en/detail/mixed-building/for-sale/6010/couillet/vbb31428,House,mixed-building,560000.0,sell,,6.0,7.0,,6010,couillet,50.3914084,4.4589418,,To renovate,,,,,,2.0,,1.0,,1.0,,D,Wallonia,Hainaut,Charleroi,2.4,0.0,,https://immovlan.be/en/detail/mixed-building/for-sale/6010/couillet/vbb31428
https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe33386,Apartment,apartment,159000.0,sell,70.0,1.0,1.0,Rue Edmond Delcourt,1070,anderlecht,50.8380503,4.3070745,1950.0,Normal,0.0,,,Partially equipped,1.0,2.0,3.0,,,,,F,Brussels,Brussels Capital Region,Bruxelles,3.4,0.0,0.0,https://immovlan.be/en/detail/apartment/for-sale/1070/anderlecht/vbe33386
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbe07772,House,residence,125000.0,sell,140.0,3.0,1.0,,6041,gosselies,50.4688896,4.4322027,,To be renovated,0.0,,,,0.0,2.0,2.0,0.0,,0.0,,,Wallonia,Hainaut,Charleroi,6.5,0.0,,https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbe07772
https://immovlan.be/en/detail/chalet/for-sale/6951/bande/vbd07673,House,chalet,166000.0,sell,49.0,2.0,,,6951,bande,50.1670102,5.41552,1964.0,,0.0,,,,0.0,4.0,,1.0,,1.0,1420.0,D,Wallonia,Luxembourg,Namur,51.2,0.0,,https://immovlan.be/en/detail/chalet/for-sale/6951/bande/vbd07673
https://immovlan.be/en/detail/residence/for-sale/2150/borsbeek/rbv65646,House,residence,525000.0,sell,191.0,4.0,1.0,de Robianostraat 112,2150,borsbeek,51.19493,4.481548,1937.0,Normal,0.0,1.0,,,0.0,,,1.0,170.0,0.0,255.0,C,Flanders,Antwerp,Antwerpen,6.1,0.0,,https://immovlan.be/en/detail/residence/for-sale/2150/borsbeek/rbv65646
https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbe35418,Apartment,apartment,549000.0,sell,126.0,2.0,1.0,Chaussée de la Hulpe 200,1170,watermaal-bosvoorde,50.793875,4.4189987,1900.0,Normal,0.0,,,Fully equipped,0.0,2.0,2.0,1.0,,1.0,,E,Brussels,Brussels Capital Region,Bruxelles,7.9,0.0,0.0,https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbe35418
