postal_code,property_count,avg_price_m2,longitude,latitude
3001,5,3324.340448823207,4.6931307510281,50.85172925
3010,3,2889.764606977722,4.7307614946269,50.88991545
3012,1,2109.004739336493,4.7136294,50.9095362
3018,1,3950.0,4.7001214,50.926428
3020,3,2887.896508293123,4.6255138,50.9020979
3040,9,3502.3020731181355,4.5828587400028,50.7950895
3050,2,2886.8080695566077,4.6678971,50.8217682
3051,2,2040.909090909091,4.6458289787229,50.8051035
3061,1,3409.9378881987577,4.5905043649411,50.8419887
3070,2,2013.9860139860139,4.5364707039624,50.88326665
3071,1,1923.076923076923,4.5750864125531,50.9104969
3078,1,2413.793103448276,4.5545949589597,50.87266065
3080,16,3236.0938952165834,4.545208431698,50.8110528
3090,10,2813.151867830024,4.5385226,50.7729254
3110,5,1966.8600144687887,4.7143205960258,50.9543637
3111,1,3495.575221238938,4.7683306885409,50.9482552
3120,9,2853.9467335655227,4.6755134,50.9900457
3128,4,2052.166801481457,4.7505367662714,51.0075269
3130,3,2244.82163406214,4.7908301771478,50.99602795
3140,14,2425.8332548787585,4.6265551,51.0049242
3150,7,3623.4445364035896,4.6386824,50.9769286
3190,2,2551.6843971631206,4.575800525,50.97828585
3191,1,1722.5,4.5553278,50.9925865
3200,6,2662.132310661101,4.8245687,50.9841594
3210,2,1349.8643936458736,4.7756847507269,50.89891075
3220,1,2732.7935222672063,4.7557296717686,50.92172015
3270,5,2425.5036366147156,4.9547327768843,50.9725745
3271,3,2421.674580984926,4.9770845794874,51.0278406
3290,1,1990.5956112852664,5.086792549946,51.0130411
3294,1,2470.9302325581393,5.0247465287649,51.0071839
3300,5,1845.5015036415552,4.9137602382894,50.79215565
3320,2,2235.0467289719627,4.8294566856141,50.78956675
3350,2,1680.5028514430687,5.0409717,50.8291537
3360,2,2361.691810344828,4.7912847996064,50.80732735
3370,1,,4.8336178052558,50.8473461
3390,2,2842.8362573099416,4.8863781815823,50.9242724
3401,2,2270.026525198939,5.0878535498936,50.7385007
3440,3,1126.207483230103,5.1205761783641,50.8127265
3450,1,3558.4415584415583,5.1299277800431,50.8754117
3454,1,1507.0921985815603,5.1564917481959,50.88594765
3460,2,3349.3609367824893,5.0136688435307,50.94677135
3500,53,2971.092014917493,5.3368383970676,50.930358
3510,3,2436.9516458869316,5.2509784643733,50.9524495
3511,3,2271.4144854249603,5.2747491372719,50.97085355
3520,23,2515.087833585423,5.3677683,50.9909835
3530,26,2205.5331180425014,5.4121547136036,51.036563
3540,5,2199.5881129628387,5.2098576659451,50.94876395
3545,9,2830.469314738135,5.0656234079577,50.9321193
3550,35,2678.650230390604,5.2835531292784,51.04153335
3560,4,2055.773383720703,5.1472099707378,51.0067479
3570,10,2071.886083247676,5.3079873,50.8754731
3580,32,2257.031203854073,5.2208090823008,51.0502026
3581,6,1858.9973156236322,5.2443565507181,51.08973005
3582,16,2407.9955036417628,5.271159654589,51.06978945
3583,14,1830.5836743497118,5.1616725572109,51.04746375
3590,12,2073.520462850575,5.4200307,50.9078485
3600,29,2052.1795219004716,5.5001456,50.9654864
3620,5,1389.9876837496759,5.6091315,50.8839456
3630,19,2662.3456896734597,5.7128515,50.9863045
3640,5,2123.644530435689,5.8089243331137,51.1492029
3650,59,2604.2180258889102,5.6747570297643,51.01085805
3665,6,2742.383444854033,5.5722025852462,51.0005396
3668,1,406.25,5.6161660037867,51.0182495
3670,4,1363.4960727688454,5.5813814347439,51.08477665
3680,40,2757.5425205139213,5.791733,51.0947181
3690,13,2172.2194973178857,5.5725548,50.9318992
3700,39,1829.2647004958492,5.4417282,50.7678379
3717,1,2406.4171122994653,5.4260923,50.7273829
3720,3,1720.6477732793521,5.3770000287821,50.86195255
3721,1,1591.6398713826366,5.4298574663068,50.8667966
3724,2,1669.102537219543,5.4259091735787,50.8326029
3730,10,1912.1803493044335,5.4593316,50.8580527
3740,19,2574.007070217621,5.5473874,50.8379653
3770,6,1654.80617840439,5.6374847,50.828018
3790,5,1625.9142340111434,5.839052712207,50.7465898
3793,1,3653.846153846154,5.8695304694514,50.75322225
3800,43,2254.778162082559,5.1499121468986,50.80055285
3803,1,1655.5183946488294,5.1461581286779,50.83411245
3806,2,4761.538461538462,5.1322112767812,50.78000075
3830,8,2024.761863022886,5.3111748927674,50.82338225
3840,10,1734.9666236772475,5.3972985,50.7913472
3850,5,2255.242282681776,5.2414389,50.8752909
3870,3,1652.9628266470372,5.3567635,50.7687571
3890,9,1619.5424754383018,5.2314326932833,50.7456072
3891,1,1466.1654135338347,5.1788950800586,50.75022405
3900,22,2831.357690159139,5.422976,51.2113458
3910,1,2274.285714285714,5.4314419,51.2289746
3920,22,2553.923487645982,5.3076895,51.2305657
3930,5,1836.282441130144,5.4792895720018,51.2684314
3940,8,2184.605542987517,5.3415643775263,51.11664635
3941,2,1448.4962406015038,5.3440439268887,51.1567865
3945,17,2265.4046208346435,5.1781109743218,51.11417145
3950,4,2505.963911361448,5.5522997799873,51.1470494
3960,9,2567.71357573568,5.5648743785157,51.1304481
3970,21,2131.79009913285,5.2638924294785,51.1220584
3971,4,2011.4079816784924,5.2265355962879,51.11582725
3980,31,2351.9834470963424,5.0893974,51.0681628
3990,3,2236.613037971272,5.4147469555164,51.1272018
4000,182,2379.741595009087,5.541864,50.648205
4020,133,1980.6152511369712,5.6596627,50.670247
4030,33,1934.395719925517,5.599573,50.621845
4031,10,2201.0746388425796,5.5954054,50.6128164
4032,14,1662.7893955645886,5.619261,50.6111024
4040,44,1888.043928027905,5.6403906,50.6701887
4041,16,1615.569712832696,5.5846274,50.672653
4050,7,2409.773805872843,5.6469688,50.5847922
4051,8,2479.1041142374334,5.6335963,50.6018717
4052,8,2967.787524089346,5.6387759,50.5589633
4053,10,2066.5473125245926,5.619201,50.5893639
4100,71,1782.0538680734223,5.5355698,50.5742979
4101,20,1595.0833664309291,5.5049541,50.6168289
4102,18,1567.9100377636048,5.5389943,50.5992632
4120,7,3219.8521055676683,5.4901079,50.5431751
4121,4,2710.6636997464852,5.4514318,50.5520337
4122,6,2692.5960966239836,5.5215011,50.5446771
4130,22,1734.3248003180736,5.5757727440324,50.5337249
4140,23,2537.030376475267,5.6466570762919,50.5065636
4141,3,2267.3026561915453,5.7172477995985,50.5248417
4160,5,1726.6066588233793,5.5225261,50.481662
4161,1,1604.4776119402984,5.5122974,50.4969412
4162,1,1433.1210191082803,5.5009881,50.4869156
4163,2,2443.250828119249,5.4707571,50.4960227
4170,2,1096.2799659120383,5.5764707268884,50.474910743586
4171,2,1895.3508771929826,5.5827847,50.5097627
4180,11,2054.4927921623057,5.5428656,50.4454473
4181,2,1733.3333333333335,5.5680501,50.426751
4190,16,1999.3666579267967,5.5726031,50.40526
4210,1,1335.0515463917525,5.0495231,50.5795921
4217,4,1554.2324447518172,5.1257368,50.5487123
4218,6,2017.9590608926846,5.1318708,50.5331675
4219,8,1977.072567863573,5.0305133,50.6266779
4252,1,2985.0746268656717,5.1969427,50.6554534
4253,1,1156.862745098039,5.187047,50.6649171
4254,2,2522.704339051463,5.182381,50.66174
4257,7,1245.4356183278448,5.2146261,50.6977331
4260,9,2219.0953377432425,5.1159746,50.6287517
4280,16,2014.1134492817278,5.067671,50.620859
4287,4,1913.5935319537543,5.0055524,50.7228078
4300,27,2263.6467116336826,5.235361,50.7099793
4317,6,1787.6780028384562,5.2683121,50.6482877
4340,12,2039.9048292596046,5.4620018,50.6669712
4347,4,2511.819740604575,5.3827164,50.6598522
4350,4,,5.333978,50.689076
4351,3,1679.8936498223848,5.3426579,50.6960127
4357,2,2010.4903608065088,5.3107335,50.6600262
4360,6,2309.1673202515503,5.3379451,50.7220498
4367,6,2694.9341186361335,5.4060353,50.6961807
4400,34,1753.3124001178726,5.409295,50.5985223
4420,32,1562.0431886207127,5.539419,50.6305341
4430,7,2095.8592504518106,5.5190612,50.6624326
4431,8,2189.6130943281228,5.502732,50.665153
